@relation AutobotDataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyAngle numeric
@attribute enemyHeading numeric
@attribute myGunToEnemyAngle numeric
@attribute firePower numeric
@attribute hit numeric

@data
0.622471,1,0.147943,0.758506,0.647458,0,0
0.791376,1,0.19427,0.839366,0.694038,0,0
0.463355,1,0.099401,0.613516,0.59865,0,0
0.352517,1,0.073282,0.468526,0.572389,0,0
0.234058,1,0.129061,0.412761,0.628472,0,0
0.089607,1,0.308522,0.55775,0.808915,0,0
0.515557,1,0.169021,0.786296,0.668651,0,1
0.191189,0.375,0.319644,0.561143,0.820097,0,0
0.382106,1,0.157735,0.641306,0.657303,0,0
0.204617,1,0.21427,0.496316,0.714148,0,0
0.232925,0,0.32739,0.750048,0.827886,0,1
0.325261,0.5625,0.341453,0.911768,0.842026,0,0
0.233273,1,0.336774,0.092714,0.837321,0,0
0.30915,1,0.280637,0.144994,0.780877,0,0
0.362081,1,0.228457,0.000004,0.728412,0,0
0.336647,1,0.174845,0.858791,0.674507,0,0
0.239359,1,0.129177,0.713801,0.628589,0,0
0.194137,1,0.014124,0.814178,0.512907,0,0
0.306191,1,0.971661,0.959168,0.468249,0,0
0.435245,1,0.989011,0.100382,0.485694,0,0
0.50017,1,0.024128,0.245372,0.522966,0,0
0.476058,1,0.063962,0.390362,0.563018,0,0
0.418645,1,0.104728,0.351326,0.604006,0,0
0.460578,0.3125,0.134271,0.162421,0.633711,0,0
0.43936,0,0.174557,0.989839,0.674218,0,0
0.41384,0,0.220425,0.027887,0.720336,0,0
0.322091,0,0.259242,0.172877,0.759366,0,1
0.114909,0.25,0.06293,0.467039,0.56198,0,0
0.178328,0,0.26191,0.317867,0.762048,0,0
0.106582,1,0.941314,0.680341,0.437735,0,0
0.218867,1,0.739447,0.390362,0.234765,0,1
0.204617,1,0.801606,0.535352,0.297264,0,0
0.301194,0.6875,0.734657,0.239098,0.229949,0,0
0.365782,0,0.725792,0.478192,0.221035,0,0
0.320043,0,0.776365,0.623182,0.271885,0,0
0.256251,0.625,0.805321,0.814875,0.301,0,0
0.358507,1,0.833189,0.886673,0.32902,0,0
0.493947,1,0.826619,0.741683,0.322414,0,0
0.57528,1,0.796621,0.596693,0.292252,0,0
0.565576,1,0.761616,0.451704,0.257056,0,0
0.576437,1,0.726667,0.574387,0.221915,0,0
0.5532,0.5,0.713899,0.792569,0.209078,0,0
0.461769,1,0.745331,0.007672,0.240682,0,0
0.399183,1,0.786991,0.152662,0.282569,0,0
0.32501,1,0.832422,0.089229,0.328248,0,0
0.400506,1,0.876556,0.948015,0.372624,0,0
0.537197,1,0.874587,0.803025,0.370644,0,0
0.633761,1,0.849499,0.724954,0.345419,0,0
0.765406,1,0.841551,0.869944,0.337427,0,0
0.90944,0.25,0.866958,0.189606,0.362973,0,1
0.877673,1,0.855857,0.011157,0.351812,0,0
0.866501,1,0.846117,0.430792,0.342019,0,0
0.756805,1,0.830314,0.306714,0.32613,0,0
0.677569,1,0.843532,0.161724,0.339419,0,0
0.697717,1,0.87273,0.016734,0.368777,0,0
0.665737,0,0.898379,0.060649,0.394566,0,0
0.727366,0,0.83708,0.216792,0.332932,0,0
0.856439,0,0.83113,0.361782,0.32695,0,0
0.880555,0.5625,0.847126,0.53814,0.343033,0,0
0.927061,1,0.830279,0.646882,0.326094,0,0
0.929062,0.5,0.80959,0.485163,0.305292,0,0
0.751081,1,0.795303,0.26489,0.290927,0,0
0.559497,1,0.796651,0.256525,0.292282,0,0
0.409921,1,0.767047,0.401515,0.262516,0,0
0.397901,1,0.714192,0.546505,0.209372,0,1
0.51785,1,0.693462,0.691495,0.188529,0,0
0.642793,1,0.707596,0.836484,0.20274,0,0
0.703164,1,0.73523,0.908979,0.230525,0,0
0.752525,0.125,0.745261,0.69498,0.240611,0,0
0.738936,0,0.766502,0.543716,0.261968,0,0
0.783471,0,0.792413,0.47401,0.288021,0,0
0.806752,0.6875,0.809246,0.662915,0.304946,0,0
0.973963,0.375,0.795905,0.870641,0.291532,0,0
0.952024,0.875,0.800139,0.133144,0.29579,0,0
0.832629,0,0.780281,0.9041,0.275823,0,1
0.91139,0,0.79854,0.045314,0.294181,0,0
0.701872,0,0.772408,0.75911,0.267907,0,1
0.535228,0,0.803799,0.758413,0.29947,0,0
0.396506,0,0.798066,0.903403,0.293705,0,0
0.358212,0,0.749108,0.044616,0.244479,0,0
0.463764,0,0.718914,0.189606,0.21412,0,0
0.379083,1,0.575855,0.161724,0.070279,0,1
0.455875,1,0.681719,0.434974,0.176722,0,0
0.425861,1,0.636279,0.306714,0.131033,0,0
0.251891,1,0.554515,0.005581,0.048823,0,1
0.35679,1,0.53586,0.016734,0.030065,0,0
0.147981,1,0.305941,0.284407,0.947503,0,0
0.365576,1,0.280104,0.429397,0.780341,0,0
0.515996,1,0.301517,0.574387,0.801871,0,0
0.570164,1,0.316963,0.669188,0.817402,0,0
0.683674,1,0.334771,0.524198,0.835308,0,0
0.759631,0.125,0.342558,0.310199,0.843137,0,0
0.687569,0.5,0.379987,0.211913,0.880771,0,0
0.643328,0,0.407113,0.463554,0.908045,0,0
0.443243,0.5625,0.378194,0.789084,0.878968,0,1
0.39314,1,0.671434,0.64178,0.166381,0,0
0.505943,1,0.646655,0.49679,0.141466,0,0
0.603841,0,0.646659,0.307188,0.14147,0,0
0.591554,0,0.701962,0.597168,0.197076,0,1
0.665742,0,0.674977,0.452178,0.169943,0,0
0.457424,0,0.709504,0.742158,0.204659,0,1
0.396815,0.75,0.703053,0.966614,0.198172,0,0
0.368525,1,0.750458,0.970796,0.245836,0,0
0.46653,1,0.783082,0.825806,0.278639,0,0
0.600462,1,0.775395,0.680816,0.27091,0,0
0.675248,1,0.748715,0.558132,0.244084,0,0
0.783428,1,0.731577,0.703122,0.226852,0,0
0.79605,0,0.712893,0.923395,0.208066,0,0
0.852673,0.125,0.683255,0.056244,0.178266,0,0
0.770904,1,0.677895,0.296035,0.172877,0,0
0.596756,1,0.671563,0.151045,0.16651,0,0
0.420983,1,0.688301,0.006055,0.18334,0,0
0.447732,1,0.7324,0.864842,0.22768,0,0
0.566523,1,0.753763,0.875995,0.24916,0,0
0.623075,1,0.784531,0.017208,0.280096,0,0
0.584141,1,0.816475,0.162198,0.312215,0,0
0.531076,0.875,0.836297,0.404081,0.332145,0,0
0.481292,1,0.821859,0.546979,0.317628,0,0
0.411475,1,0.784072,0.401989,0.279634,0,0
0.28164,1,0.767381,0.256999,0.262852,0,0
0.229596,1,0.786831,0.112009,0.282408,0,0
0.224356,1,0.867606,0.123163,0.363625,0,0
0.116533,1,0.99354,0.413142,0.490247,0,1
0.219438,1,0.929169,0.268152,0.425525,0,0
0.101214,1,0.761629,0.647357,0.392286,0,0
0.243075,1,0.746068,0.792347,0.241423,0,0
0.379404,1,0.740791,0.664087,0.236117,0,0
0.468258,1,0.705739,0.519097,0.200874,0,0
0.473077,1,0.663948,0.374107,0.158853,0,0
0.419852,1,0.622263,0.362954,0.11694,0,0
0.314814,0,0.615799,0.583227,0.110442,0,1
0.184692,0,0.587903,0.728217,0.082392,0,0
0.164495,0.625,0.523959,0.921304,0.018099,0,1
0.083131,1,0.397162,0.993102,0.898039,0,1
0.07123,1,0.231848,0.848112,0.731822,0,1
0.053841,1,0.182577,0.703122,0.682282,0,1
0.035742,1,0.347766,0.558132,0.848373,0,0
0.125541,1,0.414864,0.680816,0.915838,0,0
0.096652,1,0.527694,0.825806,0.021855,0,0
0.081576,0.875,0.354673,0.224237,0.855318,0,0
0.296323,1,0.306174,0.217964,0.806554,0,0
0.380888,1,0.262125,0.072974,0.762264,0,0
0.387847,1,0.21205,0.93176,0.711916,0,0
0.31597,1,0.165561,0.809076,0.665172,0,0
0.314268,1,0.105884,0.954066,0.605169,0,0
0.292968,0.0625,0.096301,0.168472,0.595533,0,0
0.128407,0.125,0.0187,0.307188,0.517508,0,1
0.006033,0.4375,0.935905,0.541403,0.432297,0,1
0.015338,0.75,0.888997,0.303703,0.385133,0,1
0.014082,0,0.737568,0.079247,0.232876,0,0
0.15965,0,0.594125,0.145469,0.088649,0,1
