@relation AutobotDataset

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyAngle numeric
@attribute enemyHeading numeric
@attribute myGunToEnemyAngle numeric
@attribute firePower numeric
@attribute hit numeric

@data
137.607237,8,61.415847,313.398265,61.415847,1,0
111.017338,8,8.159021,261.398265,8.159021,1,0
204.406145,8,113.184544,5.398265,113.184544,1,0
152.854209,-1,331.637163,319.398265,-28.362837,1,1
186.347158,-8,292.941377,32.398265,-67.058623,1,0
277.517355,-8,275.216796,81.398265,-84.783204,1,0
298.587203,8,263.954542,166.398265,-96.045458,1,0
202.863467,8,227.80694,75.398265,-132.19306,1,1
276.732246,8,244.338443,127.398265,-115.661557,1,0
111.714293,8,257.342183,23.398265,-102.657817,1,0
164.495209,8,317.954586,11.398265,-42.045414,1,0
236.001279,8,347.586272,63.398265,-12.413728,1,0
233.390206,8,12.301384,115.398265,12.301384,1,0
105.817613,8,65.564573,219.398265,65.564573,1,1
183.673769,8,36.650349,167.398265,36.650349,1,0
142.681586,8,176.979614,201.398265,176.979614,1,1
83.677552,8,127.790255,253.398265,127.790255,1,0
243.054084,8,175.49975,149.398265,175.49975,1,0
312.754026,8,160.413622,97.398265,160.413622,1,0
369.967044,8,146.136382,117.398265,146.136382,1,0
457.131414,-1,145.339569,175.398265,145.339569,1,0
397.493708,-8,132.399321,248.398265,132.399321,1,0
315.472046,8,126.348384,319.398265,126.348384,1,1
410.229263,5,127.679834,328.898265,127.679834,1,0
207.385629,8,142.254614,267.398265,142.254614,1,0
217.513355,8,173.579755,215.398265,173.579755,1,0
316.403438,8,178.537088,179.398265,178.537088,1,0
366.03182,-6,174.892456,256.148265,174.892456,1,0
406.739904,4,159.278055,329.898265,159.278055,1,0
372.794502,8,146.429005,27.398265,146.429005,1,0
384.045381,8,131.295361,79.398265,131.295361,1,0
406.060787,8,119.556658,33.398265,119.556658,1,0
291.33681,8,96.151633,289.398265,96.151633,1,1
376.276648,8,105.453506,341.398265,105.453506,1,0
194.750174,8,87.124083,285.398265,87.124083,1,0
112.454722,8,64.207453,29.398265,64.207453,1,1
40.200545,3,85.037101,130.148265,85.037101,1,1
117.529515,8,76.015691,337.398265,76.015691,1,0
80.13658,8,146.351857,151.398265,146.351857,1,1
149.919155,8,131.833338,99.398265,131.833338,1,0
213.747729,8,96.852776,47.398265,96.852776,1,0
255.30279,8,74.024196,355.398265,74.024196,1,1
223.549847,-8,62.238432,66.398265,62.238432,1,0
195.575397,-8,19.719029,118.398265,19.719029,1,0
219.835919,8,6.34161,191.898265,6.34161,1,0
196.365206,8,343.46166,243.898265,-16.53834,1,0
260.358022,8,317.782872,217.398265,-36.53834,1,0
164.333568,8,289.855271,113.398265,-70.144729,1,1
220.153977,8,298.532491,165.398265,-61.467509,1,0
145.669761,8,311.787596,109.398265,-48.212404,1,1
223.79958,3.5,229.386068,305.023265,-130.613932,1,0
136.880688,8,241.310354,217.398265,-77.274805,1,0
229.621605,8,248.374991,339.398265,-111.625009,1,0
289.409796,8,266.400212,287.398265,-93.599788,1,0
321.637082,8,264.534514,235.398265,-95.465486,1,0
293.752864,8,244.49336,183.398265,-115.50664,1,0
229.495315,-6,220.1403,236.148265,-139.8597,1,0
194.717636,-8,163.9441,290.398265,163.9441,1,0
122.39455,8,221.738781,346.264222,-138.261219,1,0
91.212248,8,229.098018,294.264222,-130.901982,1,0
160.115958,8,229.396689,242.264222,-130.603311,1,1
262.266591,8,232.131886,254.264222,-127.868114,1,0
312.478402,-8,211.207855,333.264222,-148.792145,1,0
453.375384,4,202.517208,102.764222,-157.482792,1,0
409.063841,-8,203.498067,25.264222,-156.501933,1,0
475.094473,8,190.840531,104.264222,-169.159469,1,0
442.832918,8,178.931234,52.264222,178.931234,1,0
82.371594,8,194.843261,8.264222,-165.156739,1,1
354.624714,8,171.96727,0.264222,171.96727,1,0
216.487382,8,179.415982,316.264222,179.415982,1,0
56.895461,-8,226.365216,77.264222,-133.634784,1,0
123.107482,-8,284.892563,129.264222,-75.107437,1,1
114.42699,8,310.686113,216.264222,-49.313887,1,1
127.543121,3,344.03683,137.764222,-15.96317,1,0
174.097181,8,32.352412,74.514222,32.352412,1,0
281.773122,8,36.306735,58.264222,36.306735,1,0
354.861595,8,48.827237,110.264222,48.827237,1,0
369.763873,8,64.595583,162.264222,64.595583,1,0
321.700465,8,79.296029,214.264222,79.296029,1,0
179.476339,-1,296.674247,218.264222,-63.325753,1,0
227.531689,8,86.728537,266.264222,86.728537,1,0
207.399664,5,309.201199,132.264222,-50.798801,1,1
72.715821,8,355.809751,276.264222,57.192915,1,0
126.86507,8,302.610902,132.264222,-57.389098,1,1
54.670974,8,228.062081,168.264222,-80.671143,1,0
126.152499,-3,231.532683,236.014222,-128.467317,1,1
89.937893,1,246.131225,305.264222,-113.868775,1,1
173.665697,8,297.31015,16.014222,-62.68985,1,0
