@relation Autobot.arff

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute notHit numeric
@attribute hit numeric

@data
0.259045,-0.75,-0.692546,0,1
0.47978,0.5,0.907685,1,0
0.150715,0.5,-0.664518,0,1
0.296882,0.5,0.918927,1,0
0.309125,-0.75,0.991536,1,0
0.090595,0.75,-0.12091,1,0
0.316021,0.5,-0.974591,0,1
0.147053,-0.5,0.480293,1,0
0.17329,0.5,-0.996755,0,1
0.388319,0.5,-0.302684,1,0
0.705805,0,-0.221075,1,0
0.344826,-0.75,-0.926235,0,1
0.35826,-0.75,-0.808974,1,0
0.526132,0.5,0.902464,1,0
0.382186,-0.5,0.969928,1,0
0.54819,-0.125,0.919901,1,0
0.451731,-0.75,-0.955988,1,0
0.117005,-0.75,0.764199,0,1
0.429448,-0.75,-0.895909,1,0
0.411476,-0.75,-0.04136,1,0
0.475886,0.5,0.400432,1,0
0.086761,-0.5,-0.248759,0,1
0.305173,0.5,-0.581004,1,0
0.285108,-0.25,0.491408,1,0
0.32535,-0.75,0.991345,1,0
0.591873,0.5,-0.509023,1,0
0.310933,-0.75,0.73078,0,1
0.511418,-0.5,0.266746,1,0
0.35805,0.75,-0.153664,1,0
0.314463,0.25,0.249533,1,0
0.443486,0.25,-0.981986,1,0
0.123577,0.5,-0.841823,0,1
0.198723,0.5,-0.750273,1,0
0.491435,0.5,-0.605135,1,0
0.193218,-0.75,-0.868829,0,1
0.328224,-0.125,0.974169,1,0
0.23481,0.5,-0.984219,1,0
0.225279,0.5,0.802429,1,0
0.516569,-0.5,-0.860864,1,0
0.434311,0.5,-0.550109,1,0
0.191368,0.5,0.85748,0,1
0.54187,0.5,0.754237,1,0
0.386083,-0.75,-0.718468,0,1
0.460293,-0.75,-0.96178,1,0
0.238854,0.5,-0.837216,1,0
0.359167,-0.75,0.820977,0,1
0.210103,0.5,-0.851117,0,1
0.569738,0.5,0.599622,0,1
0.273097,-0.75,0.872032,1,0
0.272136,-0.375,0.08092,1,0
