@relation AutobotDataset

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute hit numeric
@attribute notHit numeric

@data
0.533162,-0.625,-0.98746,0,1
0.530967,-0.75,-0.988282,0,1
0.607913,-0.75,-0.986281,1,0
0.384001,0.5,0.106851,1,0
0.507566,0.5,0.172609,0,1
0.293879,-0.125,0.879466,0,1
0.105615,-0.75,0.767506,1,0
0.230382,-0.75,-0.237069,0,1
0.074354,0,-0.343721,1,0
0.236767,0.5,0.934339,1,0
0.155405,0.5,0.242015,0,1
0.346536,0.5,-0.468783,1,0
0.454655,-0,-0.519223,0,1
0.511997,-0.75,-0.076448,0,1
0.503112,0.75,0.343324,0,1
0.375127,0.5,0.584397,0,1
0.299853,0.5,0.75294,0,1
0.300412,0.5,0.779694,1,0
0.341388,-0.75,0.896171,1,0
0.342326,-0.75,0.311225,0,1
0.398659,-0.25,0.57741,0,1
0.507252,0.5,0.689021,0,1
0.535861,0.5,0.76013,0,1
0.522237,-0.25,0.751353,0,1
0.4144,-0.75,0.8019,1,0
0.471675,-0.75,0.809137,0,1
0.361691,0,-0.902765,0,1
0.266557,0.5,-0.967969,1,0
0.347666,0.5,-0.981686,0,1
0.593988,0.5,-0.585611,0,1
0.601887,-0.75,-0.511581,0,1
0.615026,-0.75,-0.476426,1,0
0.650466,0,0.969615,0,1
0.610774,0.5,0.814049,0,1
0.588784,0.5,0.814049,1,0
0.532966,-0.75,0.05596,0,1
0.484547,-0.75,0.215628,0,1
0.474975,-0.75,0.369489,0,1
0.522486,0.5,0.328844,0,1
0.500301,0.5,0.056142,0,1
0.503581,-0.75,0.105612,1,0
0.50687,-0.75,0.036853,0,1
0.504862,0,-0.995978,0,1
0.470036,0.5,-0.586911,0,1
0.451795,0.5,0.470121,0,1
0.423408,-0.625,0.396553,0,1
0.452719,-0.75,0.486134,0,1
0.478928,-0.75,0.588622,0,1
0.459711,0.5,0.559667,0,1
0.482987,0.5,0.440716,0,1
0.485187,0.5,0.312442,0,1
0.480092,-0.75,0.19171,0,1
0.330618,-0.75,0.278776,1,0
0.401218,-0.75,0.641003,0,1
0.305079,0.5,0.91,0,1
0.284076,0.5,0.695043,1,0
0.312087,0.5,-0.40356,1,0
0.37551,-0.5,-0.735438,0,1
0.402853,-0.75,-0.78054,1,0
0.463214,-0.75,-0.103784,0,1
0.457652,0.5,0.964504,0,1
0.489273,-0.125,-0.938241,0,1
0.453086,-0.75,-0.931494,0,1
0.4712,-0.75,-0.936489,1,0
0.518451,0.5,-0.861671,1,0
0.511934,0.5,0.355636,0,1
0.469852,0.5,0.955642,0,1
0.498983,-0.375,0.998426,0,1
0.487938,-0.75,0.999228,0,1
0.461001,-0.75,0.999271,1,0
0.500301,0.5,0.511503,1,0
0.550043,0.5,-0.997618,0,1
0.58232,0.25,-0.932407,0,1
0.537977,-0.75,-0.883201,0,1
0.555267,-0.75,-0.874461,1,0
0.607614,-0.75,0.412963,0,1
0.532908,0.5,0.857022,0,1
0.492266,0.5,0.846556,1,0
0.464114,-0.75,0.851407,1,0
0.518438,-0,0.851407,0,1
0.365207,-0.75,-0.258354,0,1
0.271996,-0.75,0.358898,0,1
0.246846,0.5,0.6793,0,1
0.210595,0.5,0.639393,0,1
0.28036,0.5,0.799959,0,1
0.208803,0.5,0.807534,0,1
0.239499,0.5,0.856007,0,1
0.324854,0.5,0.886053,0,1
0.286584,-0.75,0.892115,0,1
0.136953,-0.75,0.984847,1,0
0.218252,-0.75,0.993367,0,1
0.081363,-0.75,0.922871,1,0
0.095657,-0.75,0.559106,1,0
0.133457,-0.75,0.999832,0,1
0.184001,0.125,0.999832,1,0
0.158455,-0.75,0.99928,0,1
0.24672,0.5,0.971725,1,0
0.30331,0.5,0.284225,1,0
0.274217,-0.5,0.259855,0,1
0.236724,-0.5,-0.820493,0,1
