@relation AutobotDataset-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute enemyDistance numeric
@attribute enemyVelocity numeric
@attribute enemyDirectionRelativeToGun numeric
@attribute hit numeric

@data
0.353646,0,0.993597,0
0.310984,0.75,0.995087,1
0.427682,0.833333,0.763545,1
0.561855,0.833333,0.130236,0
0.611155,0,0.042288,0
0.690846,0,0.056198,0
0.802726,0,0.058712,1
0.797624,0.833333,0.841337,0
0.720052,0.833333,0.977193,0
0.677919,0.416667,0.910932,0
0.543925,0,0.909495,1
0.631309,0,0.670135,0
0.443235,0.833333,0.183392,0
0.481998,0.833333,0.183392,0
0.488937,0.833333,0.203947,0
0.571909,0,0.68194,1
0.63207,0,0.999749,0
0.643955,0.833333,0.760047,0
0.663671,0.166667,0.329343,0
0.741283,0,0.018443,0
0.642983,0.166667,0.006143,0
0.668153,0,0.183679,0
0.858777,0,0.221924,0
0.837118,0.833333,0.17514,0
0.753558,0.833333,0.162544,0
0.760321,0,0.162544,0
0.721784,0.416667,0.232213,0
0.803079,0,0.352688,0
0.691166,0.833333,0.326731,0
0.601197,0.833333,0.265857,1
0.568233,0.5,0.790974,0
0.564408,0,0.919643,0
0.555615,0,0.911275,1
0.571998,0.5,0.985098,1
0.629719,0.166667,0.990853,0
0.608328,0.166667,0.053471,0
0.548615,0.166667,0.000755,0
0.553267,0,0.349569,1
0.665374,0,0.427778,0
0.783945,0,0.47104,0
0.821542,0.833333,0.514867,0
0.840522,0.833333,0.470289,1
0.835379,0.833333,0.906428,0
0.855012,0,0.933691,0
0.852392,0,0.941222,1
0.798883,0.583333,0.944557,0
0.90835,0.833333,0.413353,0
0.989508,0.833333,0.011803,0
0.876948,0,0.015863,0
0.846276,0,0.016842,0
0.897154,0.833333,0.024042,0
0.952458,0.833333,0.024002,0
0.893464,0.833333,0.001795,1
0.82536,0.833333,0.063173,0
0.908832,0,0.154586,0
1,0,0.218716,0
0.900092,0.833333,0.220199,0
0.461815,0.833333,0.130824,0
0.481451,0,0.096266,0
0.600279,0,0.11201,0
0.694256,0,0.1347,0
0.692451,0.833333,0.16353,0
0.631654,0.833333,0.162856,0
0.574716,0.833333,0.151284,1
0.528473,0.5,0.662578,0
0.621488,0,0.794222,0
0.630498,0,0.873588,0
0.641764,0.833333,0.908338,0
0.729424,0.833333,0.878499,0
0.783468,0.333333,0.861267,0
0.738064,0,0.880605,0
0.668123,0,0.897704,0
0.667277,0.833333,0.886705,0
0.725525,0.833333,0.863657,1
0.691096,0,0.963447,1
0.774036,0.416667,0.946604,0
0.578315,0,0.261045,0
0.518238,0.833333,0.002647,0
0.524456,0.833333,0.226422,0
0.545651,0.083333,0.692321,0
0.64489,0,0.653236,0
0.670692,1,0.601143,0
0.662697,0.166667,0.535496,0
0.640878,0.166667,0.450994,0
0.626865,0,0.512404,0
0.620222,0,0.59712,0
0.622648,1,0.621863,0
0.629432,1,0.666779,0
0.685241,0.833333,0.503884,0
0.665114,0,0.42921,0
0.664396,0,0.450688,0
0.667161,0,0.450688,0
0.687381,0.833333,0.552105,0
0.702154,0.833333,0.483649,0
0.7012,0.833333,0.402029,0
0.701293,0,0.46175,0
0.720672,0,0.534859,1
0.703456,0.833333,0.996985,0
0.69139,0.833333,0.734847,0
0.720544,0.833333,0.209189,0
0.698888,0,0.008668,0
0.64393,0,0.04851,0
0.589464,0.666667,0.063212,1
0.387858,0.833333,0.452023,0
0.262297,0.833333,0.527316,0
0.256458,0.333333,0.067268,0
0.232674,0,0.106183,1
0.132409,0,0.167063,0
0.321726,0,0.352666,1
0.218959,0.833333,0.759958,1
0.222705,0.833333,0.167569,0
0.32851,0.833333,0.096312,0
0.446962,0,0.508398,0
0.582102,0,0.66042,1
0.518488,0.5,0.999806,0
0.461933,0.833333,0.687674,0
0.485904,0.833333,0.061841,0
0.477568,0,0.13215,0
0.564449,0,0.20126,1
0.708298,0,0.981768,0
0.695294,0.833333,0.954602,0
0.714061,0.833333,0.490754,0
0.716602,0.166667,0.47052,0
0.442938,0,0.503321,1
0.548655,0,0.520313,0
0.43114,0.75,0.000494,0
0.460428,0.833333,0.176211,0
0.521722,0.833333,0.25538,0
0.524186,0.083333,0.471479,0
0.556175,0,0.421909,0
0.503625,0,0.398415,1
0.449278,0.833333,0.883001,0
0.399905,0.833333,0.988666,0
0.398574,0.5,0.999995,1
0.309693,0,0.411007,0
0.206701,0,0.411007,1
0.164272,0.833333,0.451429,0
0.144363,0.833333,0.008806,1
0.116806,0.833333,0.009247,0
0.109912,0.833333,0.515035,0
0.30082,0.833333,0.287184,1
0.306651,0,0.798406,0
0.352535,0,0.801555,0
0.295447,0,0.801555,0
0.362807,0.833333,0.869938,0
0.448629,0.833333,0.895214,0
0.529899,0.833333,0.879449,1
0.478215,0,0.981284,1
0.573126,0.166667,0.946721,0
0.401394,0,0.845052,0
0.375163,0.833333,0.914673,0
0.429313,0.833333,0.890036,0
0.443862,0,0.859182,0
0.513014,0.666667,0.858155,0
0.372276,0,0.786294,0
0.28455,0,0.822934,0
0.208124,0,0.908489,0
0.173109,0.833333,0.937232,0
0.20412,0.833333,0.953409,0
0.239432,0.833333,0.957619,0
0.276054,0.833333,0.970915,0
0.330324,0.833333,0.966931,0
0.406968,0.833333,0.961008,1
0.33347,0,0.161809,0
0.261697,0,0.170262,0
0.295766,0.833333,0.251997,0
0.251253,0.833333,0.454145,0
0.203859,0.833333,0.535195,0
0.218577,0.833333,0.604115,0
0.191931,0.833333,0.696806,0
0.16491,0.833333,0.695196,0
0.171226,0.833333,0.56326,0
0.155872,0.833333,0.605326,0
0.167714,0.416667,0.474808,0
0.229796,0,0.178629,0
0.291409,0,0.219526,1
0.258878,0,0.194809,0
0.180448,0.833333,0.164931,1
0.064422,0.833333,0.794582,0
0.198914,0.833333,0.33388,0
0.394204,0.833333,0.014569,1
0.57488,0,0.383738,0
0.84064,0,0.431625,1
0.989236,0.166667,0.947751,0
0.998516,0.833333,0.391845,0
0.886104,0.833333,0.083625,0
0.734696,0.083333,0.04909,0
0.353041,0,0.018765,1
0.47859,0,0.014326,0
0.247936,0.833333,0.082546,1
0.21967,0.416667,0.922767,1
0.193684,0.833333,0.270079,0
0.211073,0,0.135151,1
0.141955,0,0.997879,0
0.236171,0.833333,0.82396,1
0.214168,0.583333,0.268613,0
0.400941,0.833333,0.018371,0
0.56147,0,0.266411,0
0.707162,0,0.354374,0
0.701961,1,0.372746,0
0.63031,0.833333,0.525054,0
0.39048,0.833333,0.443358,0
0.287969,0,0.333585,0
0.156958,0,0.226642,0
0.06426,0.166667,0.948637,1
0.072075,0.166667,0.99652,1
0.11601,0.833333,0.9992,0
0.07194,0.166667,0.999945,1
0.102287,0.166667,0.978904,0
0.154197,0.166667,0.948708,1
0.186464,0.166667,0.803547,0
0.188159,0.166667,0.802162,0
0.16023,0.166667,0.920084,0
0.240529,0.166667,0.991355,1
0.164615,0,0.044842,0
0.242388,0,0.031314,1
0.149313,0,0.129607,0
0.314572,0.666667,0.997471,0
0.300723,0.833333,0.997471,1
0.265405,0.833333,0.344946,0
0.25211,0,0.009251,0
0.270553,0.333333,0.011748,1
0.19158,0,0.012261,0
0.152737,0.833333,0.99121,1
0.209425,0.833333,0.999735,0
0.184272,0.083333,0.359154,0
0.164342,0,0.004185,0
0.263658,0.833333,0.004783,1
0.329927,0,0.032265,0
0.266225,0.833333,0.082427,1
0.25989,0.833333,0.643966,1
0.229365,0,0.978329,1
0.267454,0,0.970242,0
0.12648,0.583333,0.805308,0
0.174649,0.833333,0.786458,0
0.277412,0.833333,0.717261,0
0.380297,0.666667,0.535681,0
0.334001,0,0.565513,0
0.239069,0,0.555324,0
0.203303,0.833333,0.556917,0
0.139909,0.833333,0.571554,0
0.108311,0.833333,0.57943,1
0.122379,0.833333,0.616065,0
0.059073,0.833333,0.631656,1
0.031066,0.833333,0.642438,1
0.016137,0.833333,0.793394,1
0.014923,0.833333,0.941133,1
0.033916,0.833333,0.941448,0
0.054974,0.833333,0.901817,1
0.114338,0.833333,0.924069,0
